from_類別,類別情境與問題,to_類別,問題狀態,json_def,quest_class,說明
土石流,集水區為何,集水區,3,NULL,,
土石流,影響範圍,集水區,3,NULL,,
土石流,歷史影像,土石流,3,NULL,,
土石流,流路,流路,3,NULL,,
工業污水處理廠,處理範圍,工業區域,0,NULL,,
工業污水處理廠,污染範圍為何,流路,4,NULL,,
工業污水處理廠,歷史水質,工業污水處理廠,4,NULL,,
工業區域,哪個污水廠,工業污水處理廠,0,NULL,,
工業區域,有哪些工廠,工廠,0,NULL,,
工業區域,水源在哪,取水口,4,NULL,,
工廠,哪個污水廠,工業污水處理廠,0,NULL,,
工廠,屬於哪個工業區,工業區域,0,NULL,,
工廠,目前排放狀況,工廠,4,NULL,,
工廠,污染範圍為何,流路,4,NULL,,
水庫,蓄水範圍,集水區,3,NULL,,
水庫,集水區為何,集水區,3,NULL,,
水庫,淤積量,水庫,4,NULL,,
水庫,歷史水位,水庫,4,NULL,,
水庫,歷史水質,水庫,4,NULL,,
水庫,供給哪些區域,生活區域,4,NULL,,
生活污水處理廠,污染範圍為何,流路,4,NULL,,
生活污水處理廠,處理哪些區域,生活區域,4,NULL,,
生活污染源,污染範圍為何,流路,4,NULL,,
生活污染源,哪裡有垃圾,生活污染源,4,NULL,,
生活污染源,哪裡有垃圾場,生活污染源,4,NULL,,
生活區域,有哪些污染源,鄰近污染源,0,NULL,,
生活區域,用水統計(三級經濟區),生活區域,0,NULL,DrawShapeQuest,點一個點
生活區域,水源在哪,取水口,1,NULL,,
生活區域,淨水廠為何,淨水場,1,NULL,,
生活區域,接管率統計,生活區域,4,NULL,,
污染點,污染範圍為何,流路,4,NULL,,
污染點,會影響哪個取水口,取水口,4,NULL,,
取水口,集水區為何,集水區,0,NULL,,
取水口,取水量,取水口,1,NULL,,
取水口,生活供給範圍,生活區域,1,NULL,,
取水口,下游影響範圍,流路,4,NULL,,
取水口,取水口水質,取水口,4,NULL,,
取水口,農業供給範圍,農業區域,4,NULL,,
取水口,工業供給範圍,工業區域,4,NULL,,
流域,流域範圍,流域,0,NULL,,
流域,生活區域,生活區域,0,NULL,DrawShapeQuest,點一個點
流域,農業區域,農業區域,0,NULL,DrawShapeQuest,點一個點
流域,工業區域,工業區域,0,NULL,DrawShapeQuest,點一個點
流域,主要河道,流路,1,NULL,,
流域,所有河道,流路,1,NULL,DataInputQuest,輸入河道細緻度
流域,流域分區,流域,1,NULL,DataInputQuest,輸入流域細緻度
流域,雨水下水道,流路,2,NULL,,
流域,污水下水道,流路,2,NULL,,
流域,圳路,流路,2,NULL,,
流域,水庫堰壩,水庫,3,NULL,,
流域,水質水量保護區,集水區,3,NULL,,
流域,淹水潛勢圖,集水區,3,NULL,DataInputQuest,選擇幾小時雨量
流域,土石流潛勢溪流,土石流,3,NULL,,
流域,親水河道,流路,4,NULL,,
流域,排水系統,流路,4,NULL,,
流域,兩點河道,流路,4,NULL,DrawShapeQuest,點兩個點
流域,兩點間集水區為何,集水區,4,NULL,DrawShapeQuest,點兩個點
流路,鳥覽流路,流路,0,NULL,TracePathQuest,
流路,上游集水區,集水區,1,NULL,DrawShapeQuest,點一個點
流路,下游入海線,流路,1,NULL,DrawShapeQuest,點一個點
流路,自設污染源污染範圍,流路,4,NULL,DrawShapeQuest,點一個點
流路,水量資訊,流路,4,NULL,,
流路,目前流量,流路,4,NULL,,
流路,歷史流量,流路,4,NULL,,
流路,RPI為何,流路,4,NULL,,
流路,這裡的水如何,流路,4,NULL,DrawShapeQuest,點一個點
流路,親水體檢,流路,4,NULL,DrawShapeQuest,點一個點
流路,最近點資訊,流路,4,NULL,,
淨水場,取水口為何,取水口,1,NULL,,
淨水場,淨水場水質,淨水場,1,NULL,,
淨水場,淨水場供水量,淨水場,1,NULL,,
淨水場,供給哪些區域,生活區域,1,NULL,,
集水區,有哪些污染源,鄰近污染源,0,NULL,,
集水區,雨量資訊,集水區,4,NULL,,
農業區域,有哪些污染源,鄰近污染源,0,NULL,,
農業區域,有哪些農作物,農業區域,0,NULL,,
農業區域,水源在哪,取水口,4,NULL,,
鄰近污染源,工廠,工廠,0,NULL,DrawShapeQuest,畫一個圓
鄰近污染源,環境保護列管對象,污染點,0,NULL,DrawShapeQuest,畫一個圓
鄰近污染源,工業區域,工業區域,0,NULL,DrawShapeQuest,畫一個圓
鄰近污染源,工業污水處理廠,工業污水處理廠,0,NULL,DrawShapeQuest,畫一個圓
鄰近污染源,農地工廠,工廠,0,NULL,DrawShapeQuest,畫一個圓
鄰近污染源,水污染源放流口,污染點,3,NULL,DrawShapeQuest,畫一個圓
鄰近污染源,生活污染源,生活污染源,4,NULL,DrawShapeQuest,畫一個圓
鄰近污染源,生活污水處理廠,生活污水處理廠,4,NULL,DrawShapeQuest,畫一個圓
鄰近污染源,廢水排放,污染點,4,NULL,DrawShapeQuest,畫一個圓
鄰近污染源,養殖,污染點,4,NULL,DrawShapeQuest,畫一個圓
